# Lista de Achievements - Warface

**Total:** 3417 achievements
- **Insignias (Badge):** 757
- **Fitas (Stripe):** 1688
- **Marcas (Mark):** 972

---

## INSIGNIAS (Badge)

| ID | Nome (PT) | Amount | Arquivo |
| 604 | Obliteração | 33 | zombie_kills_at_once_2.xml |
| 605 | Aniquilação Total | 99 | zombie_kills_at_once_3.xml |
| 630 | Fatiador | 1500 | zombie_melee_1.xml |
| 631 | Cortador | 3000 | zombie_melee_2.xml |
| 632 | Moedor de Carne Sangrento | 7000 | zombie_melee_3.xml |
| 719 | MAG-7 de Elite | 1000 | shg40_crown02kill.xml |
| 750 | Barão do Centro | 25 | firstplacetdmdowntown1.xml |
| 751 | Duque do Centro | 50 | firstplacetdmdowntown2.xml |
| 752 | Rei do Centro | 100 | firstplacetdmdowntown3.xml |
| 753 | Barão da Fábrica | 25 | firstplaceptbfactory1.xml |
| 754 | Duque da Fábrica | 50 | firstplaceptbfactory2.xml |
| 755 | Rei da Fábrica | 100 | firstplaceptbfactory3.xml |
| 756 | Barão do Farol | 25 | firstplacedstlighthouse1.xml |
| 757 | Duque do Farol | 50 | firstplacedstlighthouse2.xml |
| 758 | Rei do Farol | 100 | firstplacedstlighthouse3.xml |
| 759 | Barão do Transporte | 25 | firstplacetdmshuttle1.xml |
| 760 | Duque do Transporte | 50 | firstplacetdmshuttle2.xml |
| 761 | Rei do Transporte | 100 | firstplacetdmshuttle3.xml |
| 762 | Barão do Palácio | 25 | firstplaceptbpalace1.xml |
| 763 | Duque do Palácio | 50 | firstplaceptbpalace2.xml |
| 764 | Rei do Palácio | 100 | firstplaceptbpalace3.xml |
| 765 | Barão do Depósito | 25 | firstplacectfdeposit1.xml |
| 766 | Duque do Depósito | 50 | firstplacectfdeposit2.xml |
| 767 | Rei do Depósito | 100 | firstplacectfdeposit3.xml |
| 803 | Segurança | 500 | defendkill1.xml |
| 804 | Defensor | 1000 | defendkill2.xml |
| 805 | Guarda do Núcleo | 5000 | defendkill3.xml |
| 851 | Levando Um Souvenir Para Casa | 250 | hnt_collectdogtags_02.xml |
| 859 | Espólios Triplos | 50 | hnt_triple_kill_01.xml |
| 866 | Open Cup 2019: Atirador de elite | 1000 | oc04_badge_01.xml |
| 905 | Rodinhas de Bicicleta | 1 | rw_survivor1.xml |
| 907 | Sem Retirada ou Rendição! | 1 | rw_survivor3.xml |
| 910 | Assassino Gélido | 500 | rw_kills1.xml |
| 911 | Gelo e Bala | 2500 | rw_kills2.xml |
| 912 | Urso Polar | 5000 | rw_kills3.xml |
| 921 | Zênite (Fuzileiro) | 1 | winrw3rifleman.xml |
| 922 | Zênite (Médico) | 1 | winrw3medic.xml |
| 923 | Zênite (Engenheiro) | 1 | winrw3engineer.xml |
| 924 | Zênite (Franco-atirador) | 1 | winrw3sniper.xml |
| 925 | Grinch | 2000 | mg01xmaskill.xml |
| 926 | Ebenezer Scrooge | 2000 | shg11xmaskill.xml |
| 932 | Trá! Trá! | 20 | pt66kill02.xml |
| 934 | Velhote | 5000 | mg23kill.xml |
| 935 | Velhote (Avançado) | 10000 | mg23kill25.xml |
| 944 | Não precisa dizer nada | 50 | heist_badge_01.xml |
| 945 | Às armas! | 3000 | heist_badge_02.xml |
| 946 | Imbatível | 1000 | heist_badge_03.xml |
| 947 | Ouro vermelho | 5000 | heist_badge_04.xml |
| 948 | Sempre pontual | 1 | heist_badge_05.xml |
| 1002 | SPAS-12 Elite Coroa | 1000 | shg06_crown02kill.xml |
| 1003 | Saiga Bullpup Elite Coroa | 1000 | shg07_crown02kill.xml |
| 1009 | Ha, Ha! Aí Que Tá a Graça! | 250 | xmaskill_3.xml |
| 1011 | MG240B Elite Coroa | 1000 | mg01_crown02kill.xml |
| 1015 | Você Está na Vizinhança Errada | 10 | pt01_gold_kill_01.xml |
| 1018 | Combate Modular | 5000 | shg35_kill.xml |
| 1021 | Puro Glamour, meu bem... | 10000 | pt30_pink01_kill_02.xml |
| 1023 | I am games fan | 1 | gamescom01_kill.xml |
| 1031 | Saraivada Inclemente | 5000 | shg36kill.xml |
| 1038 | Manda Ver! | 5000 | shg37_kill.xml |
| 1043 | Cuidado Com os Ricos | 20000 | gold_damagedealer.xml |
| 1044 | Melhor Que Papel-Moeda x2 | 5000 | gold_doublekill.xml |
| 1045 | Melhor Que Papel-Moeda x3 | 2500 | gold_triplekill.xml |
| 1050 | Faíscas Douradas | 5000 | gold_slidekills.xml |
| 1062 | Guerra Antiaérea | 10 | ka50kill1.xml |
| 1063 | Flakvierling | 100 | ka50kill2.xml |
| 1064 | Aqui Ninguém Voa | 250 | ka50kill3.xml |
| 1065 | Melhor Corredor do Mundo | 1 | server_race01.xml |
| 1072 | 11 jogadores, 1 coração | 25 | ec_win_02.xml |
| 1093 | Líder Absoluto | 1 | ap_badge_battlepass_tasks.xml |
| 1095 | Poder Justo | 1 | ap_badge_squad_nano.xml |
| 1096 | Impassível | 1 | ap_badge_squad_sas.xml |
| 1097 | Peso do Mundo | 1 | ap_badge_squad_atlas.xml |
| 1107 | Mentor | 1 | mc_referral_badge.xml |
| 1114 | Textos manchados de sangue | 1 | ru_kanobu_badge_01.xml |
| 1227 | Parte do Elenco | 25 | firstplacedstmars1.xml |
| 1228 | Ator principal | 50 | firstplacedstmars2.xml |
| 1229 | Estrela de Hollywood | 100 | firstplacedstmars3.xml |
| 1231 | Mercenário berserk | 1 | weekly_bp07_badge_01.xml |
| 1234 | Frenesi | 1 | progress_bp07_badge_01.xml |
| 1240 | Lutador berserk | 1 | base_bp07_badge_01.xml |
| 1241 | Arquiteto berserk | 1 | base_bp07_badge_02.xml |
| 1242 | Saqueador berserk | 1 | base_bp07_badge_03.xml |
| 1247 | Falcão branco | 1000 | rune_bp07_badge_01.xml |
| 1250 | Guerreiro berserk | 1 | tournament_bp07_badge_01.xml |
| 1253 | Explogelo | 1 | ru_xmas20_badge_01.xml |
| 1258 | Matador de Mechs | 30 | mech_kill02.xml |
| 1260 | Olho do tigre | 1000 | camo08_badge_01.xml |
| 1350 | Open Cup de Warface: Temporada XII | 1 | ru_proleague_badge_01.xml |
| 1351 | Open Cup de Warface: Temporada XII | 1 | ru_proleague_badge_02.xml |
| 1352 | Open Cup de Warface: Temporada XII | 1 | ru_proleague_badge_03.xml |
| 1353 | Open Cup de Warface: Temporada XII | 1 | ru_proleague_badge_04.xml |
| 1354 | Open Cup de Warface: Temporada XII | 1 | ru_proleague_badge_05.xml |
| 1378 | Herói em Formação I | 1 | ru_wfpro_masters_badge01.xml |
| 1379 | Herói em Formação II | 1 | ru_wfpro_masters_badge02.xml |
| 1380 | Herói em Formação III | 1 | ru_wfpro_masters_badge03.xml |
| 1381 | Herói em Formação IV | 1 | ru_wfpro_masters_badge04.xml |
| 1382 | Herói em Formação V | 1 | ru_wfpro_masters_badge05.xml |
| 1383 | Campeão de Bronze | 1 | ru_wfpro_legend_badge01.xml |
| 1384 | Verdadeiro Campeão | 1 | ru_wfpro_legend_badge02.xml |
| 1385 | Campeão Absoluto | 1 | ru_wfpro_legend_badge03.xml |
| 1386 | Chance de Ouro | 1 | ru_wfpro_legend_badge04.xml |
| 1387 | Trindade de Ouro | 1 | ru_wfpro_legend_badge05.xml |
| 1388 | O Mais Alto Calibre | 1 | ru_wfpro_legend_badge06.xml |
| 1389 | Toque de Bronze | 1 | ru_wfpro_grdfinal_badge01.xml |
| 1390 | Toque de Prata | 1 | ru_wfpro_grdfinal_badge02.xml |
| 1391 | Toque de Ouro | 1 | ru_wfpro_grdfinal_badge03.xml |
| 2053 | Barão do Depósito de Petróleo | 25 | firstplacetdmoildepot1.xml |
| 2054 | Duque do Depósito de Petróleo | 50 | firstplacetdmoildepot2.xml |
| 2055 | Rei do Depósito de Petróleo | 100 | firstplacetdmoildepot3.xml |
| 2059 | Barão do D17 | 25 | firstplaceptbd171.xml |
| 2060 | Duque do D17 | 50 | firstplaceptbd172.xml |
| 2061 | Rei do D17 | 100 | firstplaceptbd173.xml |
| 2065 | Barão do Ouro Negro | 25 | firstplacestmblackgold1.xml |
| 2066 | Duque do Ouro Negro | 50 | firstplacestmblackgold2.xml |
| 2067 | Rei do Ouro Negro | 100 | firstplacestmblackgold3.xml |
| 2074 | Barão da Guerra Urbana | 25 | firstplacetdmstreetwars1.xml |
| 2075 | Duque da Guerra Urbana | 50 | firstplacetdmstreetwars2.xml |
| 2076 | Rei da Guerra Urbana | 100 | firstplacetdmstreetwars3.xml |
| 2077 | Barão do Hangar | 25 | firstplacetdmhangar1.xml |
| 2078 | Duque do Hangar | 50 | firstplacetdmhangar2.xml |
| 2079 | Rei do Hangar | 100 | firstplacetdmhangar3.xml |
| 2089 | Vento Mortal | 5000 | shg39kill.xml |
| 2090 | Vento Mortal (Avançado) | 10000 | shg39kill25.xml |
| 2095 | Disparo Duplo | 5000 | shg42_kill.xml |
| 2096 | Disparo Duplo (Avançado) | 10000 | shg42kill25.xml |
| 2098 | Ganhando Popularidade | 1 | youtube_04.xml |
| 2115 | Insígnia do Zodíaco | 1 | zodiac_badge_01.xml |
| 2123 | Barão do Pátio | 25 | firstplaceptbafghan1.xml |
| 2124 | Duque do Pátio | 50 | firstplaceptbafghan2.xml |
| 2125 | Rei do Pátio | 100 | firstplaceptbafghan3.xml |
| 2129 | Barão das Torres | 25 | firstplacedsttowers1.xml |
| 2130 | Duque das Torres | 50 | firstplacedsttowers2.xml |
| 2131 | Rei das Torres | 100 | firstplacedsttowers3.xml |
| 2136 | Barão do Aul | 25 | firstplacetdmaul1.xml |
| 2137 | Duque do Aul | 50 | firstplacetdmaul2.xml |
| 2138 | Rei do Aul | 100 | firstplacetdmaul3.xml |
| 2141 | Barão da Travessia | 25 | firstplacetdmcrossriver1.xml |
| 2142 | Duque da Travessia | 50 | firstplacetdmcrossriver2.xml |
| 2143 | Rei da Travessia | 100 | firstplacetdmcrossriver3.xml |
| 2147 | Barão da Fazenda | 25 | firstplacetdmfarm1.xml |
| 2148 | Duque da Fazenda | 50 | firstplacetdmfarm2.xml |
| 2149 | Rei da Fazenda | 100 | firstplacetdmfarm3.xml |
| 2153 | Barão da Base Aérea | 25 | firstplacetdmairbase1.xml |
| 2154 | Duque da Base Aérea | 50 | firstplacetdmairbase2.xml |
| 2155 | Rei da Base Aérea | 100 | firstplacetdmairbase3.xml |
| 2163 | Caçador de Tubarão | 1500 | zt01kills02.xml |
| 2166 | Nômade | 5000 | mg22kill.xml |
| 2167 | Nômade (Avançado) | 10000 | mg22kill25.xml |
| 2175 | Guru da Tecnologia | 100 | zt01kill07.xml |
| 2176 | Guru da Tecnologia (Avançado) | 500 | zt01kill08.xml |
| 2177 | Guru da Tecnologia (Mestre) | 1000 | zt01kill09.xml |
| 2185 | Ótimo Começo | 1 | zt01stage01.xml |
| 2186 | Morte de Cima | 1 | zt01stage02.xml |
| 2187 | Nas Profundezas | 1 | zt01stage03.xml |
| 2188 | Não Há Como Se Esconder | 1 | zt01stage04.xml |
| 2189 | Mandou Bem | 1 | zt01stage05.xml |
| 2190 | Velhos Amigos | 1 | zt01stage06.xml |
| 2191 | Energizado | 1 | zt01stage07.xml |
| 2192 | Último Ataque | 1 | zt01stage08.xml |
| 2193 | O Fim Se Aproxima | 1 | zt01stage09.xml |
| 2194 | Lute Sem Desistir | 1 | zt01stage10.xml |
| 2196 | 3-years Anniversary Badge | 1 | west_anniversary_03.xml |
| 2214 | Cara a Cara | 1 | ru_facebook_01.xml |
| 2217 | Por Pouco | 1 | ru_vk_01.xml |
| 2220 | Mais Divertido Com Amigos | 1 | ru_odnoklassniki_01.xml |
| 2228 | Pão e Circo | 1 | aw_badge_01.xml |
| 2229 | Mão Venenosa | 1 | aw_badge_02.xml |
| 2230 | A Lei do Mais Forte | 1 | aw_badge_03.xml |
| 2231 | Nanoesquadrão | 1 | aw_badge_04.xml |
| 2232 | Libertação | 1 | aw_badge_05.xml |
| 2233 | Reflexos Rápidos | 1 | aw_badge_06.xml |
| 2234 | Na Linha de Frente | 1 | aw_badge_07.xml |
| 2235 | No Centro da Tempestade | 1 | aw_badge_08.xml |
| 2236 | Grito de Guerra | 1 | aw_badge_09.xml |
| 2261 | Warface Open Cup: Season XI | 1 | opencup2017_badge_01.xml |
| 2288 | Hasta la Vista, Baby | 10000 | shg44kill25.xml |
| 2290 | Hasta la Vista | 5000 | shg44_kill.xml |
| 2292 | Fuga Bem-sucedida | 1 | afro02_survivor02.xml |
| 2299 | Ouro de Anúbis | 2000 | afro02_kills06.xml |
| 2323 | PEG Poderosa | 5000 | shg40_kill.xml |
| 2324 | PEG Poderosa (Avançado) | 10000 | shg40kill25.xml |
| 2333 | Conquistador | 50 | secret_04.xml |
| 2334 | 10 | 10000 | secret_05.xml |
| 2340 | Sensação Quebra-gelo | 1000 | ice01kills03.xml |
| 2342 | Krampus | 2000 | xmas02_kills02.xml |
| 2351 | Espaço de Troféu | 1 | animal_set_01.xml |
| 2371 | Bonzão Quebra-gelo | 1 | ice_survivor2.xml |
| 2376 | Especialista Quebra-gelo | 1 | ice_survivor7.xml |
| 2381 | Reação Séria | 100 | ice_turret01.xml |
| 2400 | Remington Clássica (Avançado) | 10000 | shg01kill25.xml |
| 2401 | Vinte-e-um (Avançado) | 10000 | shg02kill25.xml |
| 2402 | Cano Quente (Avançado) | 10000 | shg03kill25.xml |
| 2403 | Javali Selvagem (Avançado) | 10000 | shg04kill25.xml |
| 2404 | No Fim do Cano (Avançado) | 10000 | shg05kill25.xml |
| 2405 | Couro Quente (Avançado) | 10000 | shg06kill25.xml |
| 2406 | Kushnapup (Avançado) | 10000 | shg07kill25.xml |
| 2407 | Persuasivo (Avançado) | 10000 | shg08kill25.xml |
| 2408 | Domínio da Remington 870 CB (Avançado) | 10000 | shg09kill25.xml |
| 2409 | Revólver (Avançado) | 10000 | shg10kill25.xml |
| 2410 | Varredor (Avançado) | 10000 | shg11kill25.xml |
| 2411 | Domínio da Hawk Pump (Avançado) | 10000 | shg12kill25.xml |
| 2412 | Domínio de Kel-Tec (Avançado) | 10000 | shg13kill25.xml |
| 2413 | Do Zero (Avançado) | 10000 | shg15kill25.xml |
| 2414 | Agressão Automática (Avançado) | 10000 | shg21kill25.xml |
| 2415 | Poder de Polícia (Avançado) | 10000 | shg22kill25.xml |
| 2416 | Armas Derya (Avançado) | 10000 | shg30kill25.xml |
| 2417 | Escopeta Tática Urbana (Avançado) | 10000 | shg26kill25.xml |
| 2418 | Rotor Assassino (Avançado) | 10000 | shg27kill25.xml |
| 2419 | A Chave do Comando (Avançado) | 10000 | shg28kill25.xml |
| 2420 | Guerra de Trincheira (Avançado) | 10000 | shg31kill25.xml |
| 2421 | É Perfeita, Modular, Mortal... (Avançado) | 10000 | shg32kill25.xml |
| 2422 | O Bom, o Mau e o Feio (Avançado) | 10000 | shg33kill25.xml |
| 2423 | Combate Modular (Avançado) | 10000 | shg35kill25.xml |
| 2424 | Saraivada Inclemente (Avançado) | 10000 | shg36kill25.xml |
| 2425 | Futuro do Campo de Batalha (Avançado) | 10000 | shg37kill25.xml |
| 2435 | Barão do Hangar Natalino | 25 | firstplacetdmhangarupxmas1.xml |
| 2436 | Duque do Hangar Natalino | 50 | firstplacetdmhangarupxmas2.xml |
| 2437 | Rei do Hangar Natalino | 100 | firstplacetdmhangarupxmas3.xml |
| 2450 | Fuzil de Caça? | 5000 | shg41_kill.xml |
| 2451 | Não, É Mais Que Isso! | 10000 | shg41kill25.xml |
| 2481 | Disparo Rápido | 5000 | shg43kill.xml |
| 2482 | Disparo Rápido (Avançado) | 10000 | shg43kill25.xml |
| 2535 | Barão da Fazenda Poente | 25 | firstplacetdmnightfarm1.xml |
| 2536 | Duque da Fazenda Poente | 50 | firstplacetdmnightfarm2.xml |
| 2537 | Rei da Fazenda Poente | 100 | firstplacetdmnightfarm3.xml |
| 2538 | Barão do Cais | 25 | firstplacetdmdock1.xml |
| 2539 | Duque do Cais | 50 | firstplacetdmdock2.xml |
| 2540 | Rei do Cais | 100 | firstplacetdmdock3.xml |
| 2541 | Barão do Motel | 25 | firstplacetdmmotel1.xml |
| 2542 | Duque do Motel | 50 | firstplacetdmmotel2.xml |
| 2543 | Rei do Motel | 100 | firstplacetdmmotel3.xml |
| 2544 | Barão da Mina | 25 | firstplaceptbmine1.xml |
| 2545 | Duque da Mina | 50 | firstplaceptbmine2.xml |
| 2546 | Rei da Mina | 100 | firstplaceptbmine3.xml |
| 2547 | Barão do Destino | 25 | firstplaceptbdestination1.xml |
| 2548 | Duque do Destino | 50 | firstplaceptbdestination2.xml |
| 2549 | Rei do Destino | 100 | firstplaceptbdestination3.xml |
| 2550 | Barão da Colina | 25 | firstplacestmhighhill1.xml |
| 2551 | Duque da Colina | 50 | firstplacestmhighhill2.xml |
| 2552 | Rei da Colina | 100 | firstplacestmhighhill3.xml |
| 2621 | Pesada, Mas Sem Cano Duplo | 5000 | shg38kill.xml |
| 2622 | Pesada, Mas Sem Cano Duplo (Avançado) | 10000 | shg38kill25.xml |
| 2637 | Marco Zero | 333 | chernobyl_badge_mission_02.xml |
| 2638 | Louva-a-Deus Abatido | 1 | chernobyl_badge_boss.xml |
| 2653 | Centro da Zona | 1 | chernobyl_secret_badge_01.xml |
| 2654 | Felicidade Para Todos | 1 | chernobyl_secret_badge_02.xml |
| 2655 | O Baile Dourado | 1 | chernobyl_secret_badge_03.xml |
| 2700 | Arma de Tanque (Avançado) | 10000 | mg01kill25.xml |
| 2701 | Schutzenpanzer Puma (Avançado) | 10000 | mg02kill25.xml |
| 2702 | Kopaska (Avançado) | 10000 | mg03kill25.xml |
| 2703 | Ordem de Lênin (Avançado) | 10000 | mg04kill25.xml |
| 2704 | Exterminador (Avançado) | 10000 | mg05kill25.xml |
| 2705 | Maschinengewehrschutze (Avançado) | 10000 | mg06kill25.xml |
| 2706 | Um Punhado de Balas (Avançado) | 10000 | mg07kill25.xml |
| 2707 | AUG Pesado (Avançado) | 10000 | mg08kill25.xml |
| 2708 | Fabricada na Alemanha ((Avançado)) | 10000 | mg09kill25.xml |
| 2709 | Guerreiro dos Porcos (Avançado) | 10000 | mg12kill25.xml |
| 2710 | Guarda Costeira (Avançado) | 10000 | mg21kill25.xml |
| 3004 | Sobrevivente | 10 | lms_1th_place_02.xml |
| 3005 | Mestre da Sobrevivência | 50 | lms_1th_place_03.xml |
| 3006 | Guru da Sobrevivência | 100 | lms_1th_place_04.xml |
| 3008 | Eliminador Experiente | 100 | lms_kills_02.xml |
| 3045 | Vórtice de Fogo | 1 | sell_badge_01.xml |
| 3046 | Tempestade de Gelo | 1 | sell_badge_02.xml |
| 3060 | Com seus Próprios Olhos | 1 | wlan_badge_01.xml |
| 3061 | Mentes Brilhantes Pensam Iguais | 1 | wlan_badge_02.xml |
| 4150 | Sayonara! | 1000 | bp10_badge_01.xml |
| 5001 | Liga de Partidas Classificatórias Warface | 1 | ru_rmleague_badge_01.xml |
| 5016 | Fúria Incontrolável | 5000 | hmg01_kill.xml |
| 5017 | Avançado: Fúria Incontrolável | 10000 | hmg01kill25.xml |
| 5018 | Entusiasmado | 5000 | hmg02_kill.xml |
| 5019 | Avançado: Entusiasmado | 10000 | hmg02kill25.xml |
| 5033 | O Preço da Vitória | 1 | ru_webevent_badge_01.xml |
| 5034 | Suporte de Flanco | 1 | ru_webevent_badge_02.xml |
| 5035 | Um de Cinco | 1 | ru_webevent_badge_03.xml |
| 5040 | Coma chumbo! | 5000 | shg45kill.xml |
| 5041 | Saia do caminho! | 10000 | shg45kill25.xml |
| 5043 | Conde de "Bedlam" | 1 | firstplacetdmcircus1.xml |
| 5044 | Duque de "Bedlam" | 5 | firstplacetdmcircus2.xml |
| 5045 | Rei de "Bedlam" | 20 | firstplacetdmcircus3.xml |
| 5058 | Disputa de Poder | 1 | ru_cybersport_badge_01.xml |
| 5087 | Barão do D18 | 25 | firstplacetdmcodenamed181.xml |
| 5088 | Duque do D18 | 50 | firstplacetdmcodenamed182.xml |
| 5089 | Rei do D18 | 100 | firstplacetdmcodenamed183.xml |
| 5090 | Barão da Pirâmide | 25 | firstplaceptbpyramid1.xml |
| 5091 | Duque da Pirâmide | 50 | firstplaceptbpyramid2.xml |
| 5092 | Rei da Pirâmide | 100 | firstplaceptbpyramid3.xml |
| 5093 | Barão da Bridges Up | 25 | firstplaceptbbridgesup1.xml |
| 5094 | Duque da Bridges Up | 50 | firstplaceptbbridgesup2.xml |
| 5095 | Rei da Bridges Up | 100 | firstplaceptbbridgesup3.xml |
| 5096 | Barão da Vault | 25 | firstplacectfvault1.xml |
| 5097 | Duque da Vault | 50 | firstplacectfvault2.xml |
| 5098 | Rei da Vault | 100 | firstplacectfvault3.xml |
| 5099 | Barão do Caminho longo | 25 | firstplacectflongway1.xml |
| 5100 | Duque do Caminho longo | 50 | firstplacectflongway2.xml |
| 5101 | Rei do Caminho longo | 100 | firstplacectflongway3.xml |
| 5102 | Barão da Residência | 25 | firstplacetbswaterfalling1.xml |
| 5103 | Duque da Residência | 50 | firstplacetbswaterfalling2.xml |
| 5104 | Rei da Residência | 100 | firstplacetbswaterfalling3.xml |
| 5105 | Barão da Mamba negra | 25 | firstplacestmblackmamba1.xml |
| 5106 | Duque da Mamba negra | 50 | firstplacestmblackmamba2.xml |
